"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","EstimateYearPlusFiveMil","CostToCompleteMil","TotalCostMil","Platform","Section"
"2004-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","0206211M"
"Proc Qty",NA,"34","60","97","93","33",NA,NA,NA,"317","LW155 M777","0206211M"
"Gross Cost","3.3","63.1","106.2","175.9","184","77.4","0","0","0","609.8","LW155 M777","0206211M"
"Less PY Adv Proc","0","3.7","6.7","11.3","10.8","3.8","0","0","0","36.4","LW155 M777","0206211M"
"Plus CY Adv Proc","7.7","2.8","11.3","10.8","3.8","0","0","0","0","36.4","LW155 M777","0206211M"
"Net Proc (P-1)","11","62.2","110.7","175.4","177","73.6","0","0","0","609.8","LW155 M777","0206211M"
"Initial Spares","0","0","2.3","4.5","4.6","1.1","0.9","0","0","13.4","LW155 M777","0206211M"
"Total Proc Cost","11","62.2","113","179.9","181.6","74.6","0.9","0","0","623.2","LW155 M777","0206211M"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","0206211M"
"Wpn Sys Proc U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","0206211M"
